sid, performer, compatibility, turn, dir, col, resp, corr, rt
1,1,2,1,1,1,0,0,7
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.491411136
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.362347429
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.398837556
1,1,1,1,2,1,1,1,0.451265342
1,1,2,1,1,1,1,1,0.405521485
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.410374094
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.350262153
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.38881556
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.362087693
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.462063949
1,1,1,1,2,1,1,1,0.480823511
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.327151717
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.395829401
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.410940852
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.447485511
1,1,2,1,1,1,1,1,0.434382034
1,1,2,1,1,1,1,1,0.452245787
1,1,2,1,1,1,1,1,0.406233306
1,1,1,1,2,1,1,1,0.393608748
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.422608569
1,1,2,1,1,1,1,1,0.410155137
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.414498756
1,1,2,1,1,1,1,1,0.400878488
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.404778706
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.474236874
1,1,1,1,2,1,1,1,0.49255777
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.402367252
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.362741745
1,1,1,1,2,1,1,1,0.445655991
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.472711014
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.381577782
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.388177905
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.378067315
1,1,1,1,2,1,1,1,0.429955299
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.389049492
1,1,2,1,1,1,1,1,0.439693955
1,1,1,1,2,1,1,1,0.328881756
1,1,2,1,1,1,1,1,0.349435504
1,1,2,1,1,1,1,1,0.302663356
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.390929285
1,1,1,1,2,1,1,1,0.410123417
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.373034877
1,1,2,1,1,1,1,1,0.361645077
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.402891955
1,1,2,1,1,1,1,1,0.419854582
1,1,1,1,2,1,1,1,0.408293571
1,1,1,1,2,1,1,1,0.395228131
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.464233828
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.436436503
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.396241717
1,1,2,1,1,1,1,1,0.447031051
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.357078301
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.34858649
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.447721414
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.440176802
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.400393966
1,1,2,1,1,1,1,1,0.418348378
1,1,1,1,2,1,1,1,0.372624365
1,1,2,1,1,1,1,1,0.391672845
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.516207619
1,1,2,1,1,1,1,1,0.372977823
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.411894888
1,1,1,1,2,1,1,1,0.366054104
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.357584818
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.41328245
1,1,1,1,2,1,1,1,0.335303026
1,1,1,1,2,1,1,1,0.354628263
1,1,1,0,1,2,0,1,7
