sid,group,initblk,epoch,trial,task,compatibility,targ,col,dir,resp,corr,rt
101,Low,1,1,1,1,1,1,1,1,1,1,0.988241037
101,Low,1,1,2,1,0,0,2,2,0,1,0
101,Low,1,1,3,1,0,0,2,1,0,1,0
101,Low,1,1,4,1,0,0,2,1,0,1,0
101,Low,1,1,5,1,2,1,1,2,1,1,0.326422519
101,Low,1,1,6,1,1,1,1,1,1,1,0.311760003
101,Low,1,1,7,1,2,1,1,2,1,1,0.268347378
101,Low,1,1,8,1,0,0,2,1,0,1,0
101,Low,1,1,9,1,0,0,2,1,0,1,0
101,Low,1,1,10,1,2,1,1,2,1,1,0.258500993
101,Low,1,1,11,1,2,1,1,2,1,1,0.308089253
101,Low,1,1,12,1,1,1,1,1,1,1,0.294990539
101,Low,1,1,13,1,1,1,1,1,1,1,0.315365648
101,Low,1,1,14,1,0,0,2,2,0,1,0
101,Low,1,1,15,1,0,0,2,2,0,1,0
101,Low,1,1,16,1,1,1,1,1,1,1,0.306676137
101,Low,1,1,17,1,0,0,2,2,0,1,0
101,Low,1,1,18,1,0,0,2,1,0,1,0
101,Low,1,1,19,1,0,0,2,2,0,1,0
101,Low,1,1,20,1,2,1,1,2,1,1,0.317116279
101,Low,1,1,21,1,2,1,1,2,1,1,0.3343943
101,Low,1,1,22,1,0,0,2,1,0,1,0
101,Low,1,1,23,1,0,0,2,1,0,1,0
101,Low,1,1,24,1,0,0,2,1,0,1,0
101,Low,1,1,25,1,1,1,1,1,1,1,0.377891528
101,Low,1,1,26,1,1,1,1,1,1,1,0.332763866
101,Low,1,1,27,1,0,0,2,1,0,1,0
101,Low,1,1,28,1,0,0,2,2,0,1,0
101,Low,1,1,29,1,0,0,2,1,0,1,0
101,Low,1,1,30,1,0,0,2,2,0,1,0
101,Low,1,1,31,1,0,0,2,2,0,1,0
101,Low,1,1,32,1,2,1,1,2,1,1,0.345213156
101,Low,1,1,33,1,1,1,1,1,1,1,0.300177489
101,Low,1,1,34,1,2,1,1,2,1,1,0.286697691
101,Low,1,1,35,1,2,1,1,2,1,1,0.304859627
101,Low,1,1,36,1,1,1,1,1,1,1,0.262746627
101,Low,1,1,37,1,0,0,2,2,0,1,0
101,Low,1,1,38,1,2,1,1,2,1,1,0.29993343
101,Low,1,1,39,1,0,0,2,2,0,1,0
101,Low,1,1,40,1,1,1,1,1,1,1,0.27202175
101,Low,1,1,41,1,2,1,1,2,1,1,0.291130547
101,Low,1,1,42,1,2,1,1,2,1,1,0.275610925
101,Low,1,1,43,1,0,0,2,2,0,1,0
101,Low,1,1,44,1,2,1,1,2,1,1,0.313550779
101,Low,1,1,45,1,1,1,1,1,1,1,0.301634434
101,Low,1,1,46,1,2,1,1,2,1,1,0.320107645
101,Low,1,1,47,1,1,1,1,1,1,1,0.274182242
101,Low,1,1,48,1,1,1,1,1,1,1,0.323481321
101,Low,1,1,49,1,0,0,2,1,0,1,0
101,Low,1,1,50,1,0,0,2,2,0,1,0
101,Low,1,1,51,1,0,0,2,1,0,1,0
101,Low,1,1,52,1,1,1,1,1,1,1,0.302221934
101,Low,1,1,53,1,2,1,1,2,1,1,0.287132611
101,Low,1,1,54,1,0,0,2,1,0,1,0
101,Low,1,1,55,1,0,0,2,2,0,1,0
101,Low,1,1,56,1,0,0,2,1,0,1,0
101,Low,1,1,57,1,0,0,2,2,0,1,0
101,Low,1,1,58,1,0,0,2,1,0,1,0
101,Low,1,1,59,1,1,1,1,1,1,1,0.368322723
101,Low,1,1,60,1,0,0,2,2,0,1,0
101,Low,1,1,61,2,0,0,2,1,0,1,0
101,Low,1,1,62,2,1,1,1,1,1,1,0.366978231
101,Low,1,1,63,2,0,0,2,2,0,1,0
101,Low,1,1,64,2,0,0,2,1,0,1,0
101,Low,1,1,65,2,2,1,1,2,1,1,0.294134171
101,Low,1,1,66,2,0,0,2,2,0,1,0
101,Low,1,1,67,2,0,0,2,1,0,1,0
101,Low,1,1,68,2,1,1,1,1,1,1,0.317827599
101,Low,1,1,69,2,0,0,2,2,0,1,0
101,Low,1,1,70,2,0,0,2,1,0,1,0
101,Low,1,1,71,2,1,1,1,1,1,1,0.311075767
101,Low,1,1,72,2,0,0,2,2,0,1,0
101,Low,1,1,73,2,2,1,1,2,1,1,0.314127589
101,Low,1,1,74,2,2,1,1,2,1,1,0.333123182
101,Low,1,1,75,2,0,0,2,2,0,1,0
101,Low,1,1,76,2,2,1,1,2,1,1,0.307735937
101,Low,1,1,77,2,1,1,1,1,1,1,0.293535859
101,Low,1,1,78,2,0,0,2,1,0,1,0
101,Low,1,1,79,2,1,1,1,1,1,1,0.298963017
101,Low,1,1,80,2,2,1,1,2,1,1,0.316723649
101,Low,1,1,81,2,0,0,2,1,0,1,0
101,Low,1,1,82,2,0,0,2,1,0,1,0
101,Low,1,1,83,2,0,0,2,1,0,1,0
101,Low,1,1,84,2,2,1,1,2,1,1,0.311233364
101,Low,1,1,85,2,0,0,2,2,0,1,0
101,Low,1,1,86,2,0,0,2,2,0,1,0
101,Low,1,1,87,2,1,1,1,1,1,1,0.319285575
101,Low,1,1,88,2,1,1,1,1,1,1,0.354725994
101,Low,1,1,89,2,0,0,2,2,0,1,0
101,Low,1,1,90,2,0,0,2,2,0,1,0
101,Low,1,1,91,2,2,1,1,2,1,1,0.314491123
101,Low,1,1,92,2,0,0,2,1,0,1,0
101,Low,1,1,93,2,1,1,1,1,1,1,0.353180818
101,Low,1,1,94,2,2,1,1,2,1,1,0.307638007
101,Low,1,1,95,2,2,1,1,2,1,1,0.323457304
101,Low,1,1,96,2,0,0,2,1,0,1,0
101,Low,1,1,97,2,1,1,1,1,1,1,0.331232832
101,Low,1,1,98,2,1,1,1,1,1,1,0.38029523
101,Low,1,1,99,2,2,1,1,2,1,1,0.399397219
101,Low,1,1,100,2,0,0,2,2,0,1,0
101,Low,1,1,101,2,0,0,2,2,0,1,0
101,Low,1,1,102,2,0,0,2,2,0,1,0
101,Low,1,1,103,2,1,1,1,1,1,1,0.297658462
101,Low,1,1,104,2,2,1,1,2,1,1,0.319410823
101,Low,1,1,105,2,0,0,2,2,0,1,0
101,Low,1,1,106,2,2,1,1,2,1,1,0.291205842
101,Low,1,1,107,2,1,1,1,1,1,1,0.310423242
101,Low,1,1,108,2,0,0,2,1,0,1,0
101,Low,1,1,109,2,0,0,2,1,0,1,0
101,Low,1,1,110,2,2,1,1,2,1,1,0.26781194
101,Low,1,1,111,2,0,0,2,2,0,1,0
101,Low,1,1,112,2,1,1,1,1,1,1,0.272592152
101,Low,1,1,113,2,0,0,2,1,0,1,0
101,Low,1,1,114,2,2,1,1,2,1,1,0.277797238
101,Low,1,1,115,2,0,0,2,2,0,1,0
101,Low,1,1,116,2,1,1,1,1,1,1,0.283188966
101,Low,1,1,117,2,2,1,1,2,1,1,0.33625476
101,Low,1,1,118,2,0,0,2,1,0,1,0
101,Low,1,1,119,2,0,0,2,1,0,1,0
101,Low,1,1,120,2,1,1,1,1,1,1,0.423650277
101,Low,1,2,121,1,2,1,1,2,1,1,0.564549163
101,Low,1,2,122,1,1,1,1,1,1,1,0.326738254
101,Low,1,2,123,1,1,1,1,1,1,1,0.315288444
101,Low,1,2,124,1,0,0,2,1,0,1,0
101,Low,1,2,125,1,0,0,2,2,0,1,0
101,Low,1,2,126,1,1,1,1,1,1,1,0.303689687
101,Low,1,2,127,1,0,0,2,2,0,1,0
101,Low,1,2,128,1,0,0,2,2,0,1,0
101,Low,1,2,129,1,2,1,1,2,1,1,0.360742799
101,Low,1,2,130,1,1,1,1,1,1,1,0.314213082
101,Low,1,2,131,1,2,1,1,2,1,1,0.30352462
101,Low,1,2,132,1,0,0,2,1,0,1,0
101,Low,1,2,133,1,0,0,2,1,0,1,0
101,Low,1,2,134,1,0,0,2,1,0,1,0
101,Low,1,2,135,1,1,1,1,1,1,1,0.279565203
101,Low,1,2,136,1,2,1,1,2,1,1,0.297785868
101,Low,1,2,137,1,2,1,1,2,1,1,0.285324962
101,Low,1,2,138,1,0,0,2,1,0,1,0
101,Low,1,2,139,1,0,0,2,2,0,1,0
101,Low,1,2,140,1,0,0,2,2,0,1,0
101,Low,1,2,141,1,1,1,1,1,1,1,0.392765516
101,Low,1,2,142,1,0,0,2,1,0,1,0
101,Low,1,2,143,1,1,1,1,1,1,1,0.300350801
101,Low,1,2,144,1,0,0,2,2,0,1,0
101,Low,1,2,145,1,2,1,1,2,1,1,0.370140263
101,Low,1,2,146,1,0,0,2,1,0,1,0
101,Low,1,2,147,1,0,0,2,1,0,1,0
101,Low,1,2,148,1,2,1,1,2,1,1,0.298368381
101,Low,1,2,149,1,0,0,2,2,0,1,0
101,Low,1,2,150,1,1,1,1,1,1,1,0.367363623
101,Low,1,2,151,1,0,0,2,2,0,1,0
101,Low,1,2,152,1,0,0,2,2,0,1,0
101,Low,1,2,153,1,0,0,2,2,0,1,0
101,Low,1,2,154,1,1,1,1,1,1,1,0.313475923
101,Low,1,2,155,1,1,1,1,1,1,1,0.299406372
101,Low,1,2,156,1,0,0,2,1,0,1,0
101,Low,1,2,157,1,2,1,1,2,1,1,0.304768112
101,Low,1,2,158,1,0,0,2,1,0,1,0
101,Low,1,2,159,1,2,1,1,2,1,1,0.34035332
101,Low,1,2,160,1,2,1,1,2,1,1,0.360724754
101,Low,1,2,161,1,0,0,2,2,0,1,0
101,Low,1,2,162,1,1,1,1,1,1,1,0.397811629
101,Low,1,2,163,1,0,0,2,2,0,1,0
101,Low,1,2,164,1,1,1,1,1,1,1,0.3391395
101,Low,1,2,165,1,0,0,2,2,0,1,0
101,Low,1,2,166,1,2,1,1,2,1,1,0.342140059
101,Low,1,2,167,1,1,1,1,1,1,1,0.296055865
101,Low,1,2,168,1,1,1,1,1,1,1,0.317083728
101,Low,1,2,169,1,0,0,2,1,0,1,0
101,Low,1,2,170,1,1,1,1,1,1,1,0.353443269
101,Low,1,2,171,1,2,1,1,2,1,1,0.33913697
101,Low,1,2,172,1,0,0,2,2,0,1,0
101,Low,1,2,173,1,0,0,2,1,0,1,0
101,Low,1,2,174,1,0,0,2,2,0,1,0
101,Low,1,2,175,1,2,1,1,2,1,1,0.318254501
101,Low,1,2,176,1,0,0,2,1,0,1,0
101,Low,1,2,177,1,0,0,2,1,0,1,0
101,Low,1,2,178,1,2,1,1,2,1,1,0.309694171
101,Low,1,2,179,1,0,0,2,1,0,1,0
101,Low,1,2,180,1,2,1,1,2,1,1,0.316464263
101,Low,1,2,181,2,0,0,2,1,0,1,0
101,Low,1,2,182,2,0,0,2,2,0,1,0
101,Low,1,2,183,2,0,0,2,2,0,1,0
101,Low,1,2,184,2,2,1,1,2,1,1,0.387818847
101,Low,1,2,185,2,1,1,1,1,1,1,0.343427744
101,Low,1,2,186,2,0,0,2,1,0,1,0
101,Low,1,2,187,2,0,0,2,2,0,1,0
101,Low,1,2,188,2,1,1,1,1,1,1,0.332866825
101,Low,1,2,189,2,1,1,1,1,1,1,0.321974457
101,Low,1,2,190,2,0,0,2,1,0,1,0
101,Low,1,2,191,2,0,0,2,1,0,1,0
101,Low,1,2,192,2,1,1,1,1,1,1,0.313790833
101,Low,1,2,193,2,0,0,2,1,0,1,0
101,Low,1,2,194,2,1,1,1,1,1,1,0.317630943
101,Low,1,2,195,2,0,0,2,2,0,1,0
101,Low,1,2,196,2,2,1,1,2,1,1,0.322500907
101,Low,1,2,197,2,0,0,2,2,0,1,0
101,Low,1,2,198,2,2,1,1,2,1,1,0.295000756
101,Low,1,2,199,2,2,1,1,2,1,1,0.314899099
101,Low,1,2,200,2,2,1,1,2,1,1,0.301361946
101,Low,1,2,201,2,0,0,2,2,0,1,0
101,Low,1,2,202,2,0,0,2,1,0,1,0
101,Low,1,2,203,2,1,1,1,1,1,1,0.311052196
101,Low,1,2,204,2,2,1,1,2,1,1,0.359169721
101,Low,1,2,205,2,1,1,1,1,1,1,0.313762435
101,Low,1,2,206,2,1,1,1,1,1,1,0.366092097
101,Low,1,2,207,2,2,1,1,2,1,1,0.288506696
101,Low,1,2,208,2,1,1,1,1,1,1,0.30606815
101,Low,1,2,209,2,2,1,1,2,1,1,0.294645674
101,Low,1,2,210,2,0,0,2,1,0,1,0
101,Low,1,2,211,2,2,1,1,2,1,1,0.395171646
101,Low,1,2,212,2,0,0,2,1,0,1,0
101,Low,1,2,213,2,0,0,2,1,0,1,0
101,Low,1,2,214,2,0,0,2,2,0,1,0
101,Low,1,2,215,2,1,1,1,1,1,1,0.341153906
101,Low,1,2,216,2,0,0,2,2,0,1,0
101,Low,1,2,217,2,2,1,1,2,1,1,0.315229965
101,Low,1,2,218,2,0,0,2,2,0,1,0
101,Low,1,2,219,2,0,0,2,1,0,1,0
101,Low,1,2,220,2,0,0,2,2,0,1,0
101,Low,1,2,221,2,0,0,2,1,0,1,0
101,Low,1,2,222,2,0,0,2,1,0,1,0
101,Low,1,2,223,2,1,1,1,1,1,1,0.378805714
101,Low,1,2,224,2,1,1,1,1,1,1,0.335390643
101,Low,1,2,225,2,2,1,1,2,1,1,0.352585272
101,Low,1,2,226,2,2,1,1,2,1,1,0.275950912
101,Low,1,2,227,2,0,0,2,2,0,1,0
101,Low,1,2,228,2,0,0,2,1,0,1,0
101,Low,1,2,229,2,0,0,2,2,0,1,0
101,Low,1,2,230,2,1,1,1,1,1,1,0.349995135
101,Low,1,2,231,2,2,1,1,2,1,1,0.30501672
101,Low,1,2,232,2,2,1,1,2,1,1,0.355078833
101,Low,1,2,233,2,0,0,2,1,0,1,0
101,Low,1,2,234,2,0,0,2,2,0,1,0
101,Low,1,2,235,2,1,1,1,1,1,1,0.344222008
101,Low,1,2,236,2,0,0,2,2,0,1,0
101,Low,1,2,237,2,1,1,1,1,1,1,0.317826189
101,Low,1,2,238,2,2,1,1,2,1,1,0.370215019
101,Low,1,2,239,2,0,0,2,2,0,1,0
101,Low,1,2,240,2,0,0,2,1,0,1,0
101,Low,1,3,241,1,1,1,1,1,1,1,0.465306265
101,Low,1,3,242,1,0,0,2,1,0,1,0
101,Low,1,3,243,1,1,1,1,1,1,1,0.342003051
101,Low,1,3,244,1,0,0,2,1,0,1,0
101,Low,1,3,245,1,0,0,2,1,0,1,0
101,Low,1,3,246,1,0,0,2,1,0,1,0
101,Low,1,3,247,1,1,1,1,1,1,1,0.286071677
101,Low,1,3,248,1,2,1,1,2,1,1,0.274712654
101,Low,1,3,249,1,1,1,1,1,1,1,0.294396292
101,Low,1,3,250,1,0,0,2,2,0,1,0
101,Low,1,3,251,1,0,0,2,2,0,1,0
101,Low,1,3,252,1,2,1,1,2,1,1,0.476414659
101,Low,1,3,253,1,0,0,2,2,0,1,0
101,Low,1,3,254,1,2,1,1,2,1,1,0.290047263
101,Low,1,3,255,1,0,0,2,2,0,1,0
101,Low,1,3,256,1,2,1,1,2,1,1,0.26073432
101,Low,1,3,257,1,2,1,1,2,1,1,0.314247744
